car_id,model,current_speed,battery_capacity,charge,consumption,engine_power,engine_torque,location,node,charging,distance_covered
ABC789,Model W,75,50,26.5,0.28,110,220,131.25,Node 1,False,131.25
ABC456,Model G,85,30,69.90555555555555,0.2,90,200,0.14166666666666666,Node 1,False,0.14166666666666666
ABC456,Model G,85,30,69.8111111111111,0.2,90,200,0.2833333333333333,Node 1,False,0.2833333333333333
ABC456,Model G,85,30,69.71666666666665,0.2,90,200,0.425,Node 1,False,0.425
ABC456,Model G,85,30,69.6222222222222,0.2,90,200,0.5666666666666667,Node 1,False,0.5666666666666667
ABC456,Model G,85,30,69.52777777777776,0.2,90,200,0.7083333333333333,Node 1,False,0.7083333333333333
ABC456,Model G,85,30,69.43333333333331,0.2,90,200,0.8499999999999999,Node 1,False,0.8499999999999999
ABC456,Model G,85,30,69.33888888888886,0.2,90,200,0.9916666666666665,Node 1,False,0.9916666666666665
ABC456,Model G,85,30,69.24444444444441,0.2,90,200,1.133333333333333,Node 1,False,1.133333333333333
ABC456,Model G,85,30,69.14999999999996,0.2,90,200,1.2749999999999997,Node 1,False,1.2749999999999997
ABC456,Model G,85,30,69.05555555555551,0.2,90,200,1.4166666666666663,Node 1,False,1.4166666666666663
ABC456,Model G,85,30,68.96111111111107,0.2,90,200,1.558333333333333,Node 1,False,1.558333333333333
ABC456,Model G,85,30,68.86666666666662,0.2,90,200,1.6999999999999995,Node 1,False,1.6999999999999995
ABC456,Model G,85,30,68.77222222222217,0.2,90,200,1.8416666666666661,Node 1,False,1.8416666666666661
ABC456,Model G,85,30,68.67777777777772,0.2,90,200,1.9833333333333327,Node 1,False,1.9833333333333327
ABC456,Model G,85,30,68.58333333333327,0.2,90,200,2.1249999999999996,Node 1,False,2.1249999999999996
ABC456,Model G,85,30,68.48888888888882,0.2,90,200,2.266666666666666,Node 1,False,2.266666666666666
ABC456,Model G,85,30,68.39444444444437,0.2,90,200,2.4083333333333328,Node 1,False,2.4083333333333328
ABC456,Model G,85,30,68.29999999999993,0.2,90,200,2.5499999999999994,Node 1,False,2.5499999999999994
ABC456,Model G,85,30,68.20555555555548,0.2,90,200,2.691666666666666,Node 1,False,2.691666666666666
ABC456,Model G,85,30,68.11111111111103,0.2,90,200,2.8333333333333326,Node 1,False,2.8333333333333326
ABC456,Model G,85,30,68.01666666666658,0.2,90,200,2.974999999999999,Node 1,False,2.974999999999999
ABC456,Model G,85,30,67.92222222222213,0.2,90,200,3.116666666666666,Node 1,False,3.116666666666666
ABC456,Model G,85,30,67.82777777777768,0.2,90,200,3.2583333333333324,Node 1,False,3.2583333333333324
ABC456,Model G,85,30,67.73333333333323,0.2,90,200,3.399999999999999,Node 1,False,3.399999999999999
ABC456,Model G,85,30,67.63888888888879,0.2,90,200,3.5416666666666656,Node 1,False,3.5416666666666656
ABC456,Model G,85,30,67.54444444444434,0.2,90,200,3.6833333333333322,Node 1,False,3.6833333333333322
ABC456,Model G,85,30,67.44999999999989,0.2,90,200,3.824999999999999,Node 1,False,3.824999999999999
ABC456,Model G,85,30,67.35555555555544,0.2,90,200,3.9666666666666655,Node 1,False,3.9666666666666655
ABC456,Model G,85,30,67.26111111111099,0.2,90,200,4.1083333333333325,Node 1,False,4.1083333333333325
ABC456,Model G,85,30,67.16666666666654,0.2,90,200,4.249999999999999,Node 1,False,4.249999999999999
ABC456,Model G,85,30,67.0722222222221,0.2,90,200,4.391666666666666,Node 1,False,4.391666666666666
ABC456,Model G,85,30,66.97777777777765,0.2,90,200,4.533333333333332,Node 1,False,4.533333333333332
ABC456,Model G,85,30,66.8833333333332,0.2,90,200,4.674999999999999,Node 1,False,4.674999999999999
ABC456,Model G,85,30,66.78888888888875,0.2,90,200,4.8166666666666655,Node 1,False,4.8166666666666655
ABC456,Model G,85,30,66.6944444444443,0.2,90,200,4.958333333333332,Node 1,False,4.958333333333332
ABC456,Model G,85,30,66.59999999999985,0.2,90,200,5.099999999999999,Node 1,False,5.099999999999999
ABC456,Model G,85,30,66.5055555555554,0.2,90,200,5.241666666666665,Node 1,False,5.241666666666665
ABC456,Model G,85,30,66.41111111111096,0.2,90,200,5.383333333333332,Node 1,False,5.383333333333332
ABC456,Model G,85,30,66.3166666666665,0.2,90,200,5.524999999999999,Node 1,False,5.524999999999999
ABC456,Model G,85,30,66.22222222222206,0.2,90,200,5.666666666666665,Node 1,False,5.666666666666665
ABC456,Model G,85,30,66.12777777777761,0.2,90,200,5.808333333333332,Node 1,False,5.808333333333332
ABC456,Model G,85,30,66.03333333333316,0.2,90,200,5.949999999999998,Node 1,False,5.949999999999998
ABC456,Model G,85,30,65.93888888888871,0.2,90,200,6.091666666666665,Node 1,False,6.091666666666665
ABC456,Model G,85,30,65.84444444444426,0.2,90,200,6.233333333333332,Node 1,False,6.233333333333332
ABC456,Model G,85,30,65.74999999999982,0.2,90,200,6.374999999999998,Node 1,False,6.374999999999998
ABC456,Model G,85,30,65.65555555555537,0.2,90,200,6.516666666666665,Node 1,False,6.516666666666665
ABC456,Model G,85,30,65.56111111111092,0.2,90,200,6.658333333333331,Node 1,False,6.658333333333331
