timestamp,car_id,model,current_speed,battery_capacity,charge,consumption,engine_power,engine_torque,location,node,charging,distance_covered,battery_life
2023-08-22 00:57:04,car1,Model D,56,50,48.8912962962963,0.119,120,240,110.83333333333333,Node 1,False,0.8333333333333334,99.999
2023-08-22 00:58:05,car1,Model D,56,50,48.75448968634074,0.119,120,240,111.76666666666667,Node 1,False,1.7666666666666666,99.99799999999999
2023-08-22 00:58:50,car1,Model D,54,50,48.8912962962963,0.119,120,240,110.83333333333333,Node 1,False,0.8333333333333334,99.999
2023-08-22 00:59:50,car1,Model D,58,50,48.7642156608963,0.119,120,240,111.73333333333333,Node 1,False,1.7333333333333334,99.99799999999999
2023-08-22 01:00:50,car1,Model D,63,50,48.61732382162222,0.119,120,240,112.7,Node 1,False,2.7,99.99699999999999
2023-08-22 01:01:50,car1,Model D,69,50,48.44365121657222,0.119,120,240,113.75,Node 1,False,3.75,99.99599999999998
2023-08-22 01:02:50,car1,Model D,71,50,48.23488370797222,0.119,120,240,114.9,Node 1,False,4.9,99.99499999999998
2023-08-22 01:03:50,car1,Model D,77,50,48.01370003037037,0.119,120,240,116.08333333333334,Node 1,False,6.083333333333334,99.99399999999997
2023-08-22 01:04:50,car1,Model D,81,50,47.75311850945556,0.119,120,240,117.36666666666667,Node 1,False,7.366666666666667,99.99299999999997
2023-08-22 01:05:50,car1,Model D,82,50,47.46447840740556,0.119,120,240,118.71666666666667,Node 1,False,8.716666666666667,99.99199999999996
2023-08-22 01:06:51,car1,Model D,78,50,47.16859842453148,0.119,120,240,120.08333333333333,Node 1,False,10.083333333333334,99.99099999999996
2023-08-22 01:07:51,car1,Model D,84,50,46.90113305579815,0.119,120,240,121.38333333333333,Node 1,False,11.383333333333335,99.98999999999995
2023-08-22 01:08:51,car1,Model D,78,50,46.590504191798146,0.119,120,240,122.78333333333333,Node 1,False,12.783333333333335,99.98899999999995
2023-08-22 01:09:51,car1,Model D,85,50,46.32303614853148,0.119,120,240,124.08333333333333,Node 1,False,14.083333333333336,99.98799999999994
2023-08-22 01:10:51,car1,Model D,91,50,46.004896690938885,0.119,120,240,125.5,Node 1,False,15.500000000000002,99.98699999999994
2023-08-22 01:11:51,car1,Model D,100,50,45.63982814821111,0.119,120,240,127.01666666666667,Node 1,False,17.01666666666667,99.98599999999993
