timestamp,car_id,model,current_speed,battery_capacity,charge,consumption,location,node,car_status,distance_covered,battery_life,distance_to_charging_point
2023-08-22 18:32:29,car12,Model N,82,45,87.64784138271605,0.11,424.46666666666664,Node 4,moving,1.4666666666666666,98.999,35.53333333333336
2023-08-22 18:33:29,car12,Model N,88,45,87.34248198697942,0.11,425.8333333333333,Node 4,moving,2.833333333333333,98.99799999999999,34.166666666666686
2023-08-22 18:34:29,car12,Model N,78,45,86.99031986562963,0.11,427.29999999999995,Node 4,moving,4.3,98.99699999999999,32.700000000000045
2023-08-22 18:35:29,car12,Model N,73,45,86.71430552385185,0.11,428.59999999999997,Node 4,moving,5.6,98.99599999999998,31.400000000000034
2023-08-22 18:36:29,car12,Model N,81,45,86.47289062090535,0.11,429.8166666666666,Node 4,moving,6.816666666666666,98.99499999999998,30.183333333333394
2023-08-22 18:37:29,car12,Model N,89,45,86.17500121090535,0.11,431.16666666666663,Node 4,moving,8.166666666666666,98.99399999999997,28.83333333333337
2023-08-22 18:38:29,car12,Model N,91,45,85.81470746853498,0.11,432.65,Node 4,moving,9.649999999999999,98.99299999999997,27.350000000000023
2023-08-22 18:39:29,car12,Model N,89,45,85.43788469148971,0.11,434.16666666666663,Node 4,moving,11.166666666666664,98.99199999999996,25.83333333333337
2023-08-22 18:40:29,car12,Model N,98,45,85.077587364214,0.11,435.65,Node 4,moving,12.649999999999999,98.99099999999996,24.350000000000023
2023-08-22 18:41:29,car12,Model N,103,45,84.63999656159672,0.11,437.2833333333333,Node 4,moving,14.283333333333331,98.98999999999995,22.716666666666697
2023-08-22 18:42:30,car12,Model N,111,45,84.15622091410701,0.11,438.99999999999994,Node 4,moving,15.999999999999998,98.98899999999995,21.000000000000057
2023-08-22 18:43:30,car12,Model N,118,45,83.5937325772922,0.11,440.84999999999997,Node 4,moving,17.849999999999998,98.98799999999994,19.150000000000034
2023-08-22 18:44:30,car12,Model N,128,45,82.95750560820578,0.11,442.8166666666666,Node 4,moving,19.816666666666663,98.98699999999994,17.183333333333394
2023-08-22 18:45:30,car12,Model N,133,45,82.20806296708643,0.11,444.94999999999993,Node 4,moving,21.949999999999996,98.98599999999993,15.050000000000068
2023-08-22 18:46:30,car12,Model N,141,45,81.39853574652676,0.11,447.1666666666666,Node 4,moving,24.166666666666664,98.98499999999993,12.833333333333428
2023-08-22 18:47:30,car12,Model N,147,45,80.48805691652676,0.11,449.5166666666666,Node 4,moving,26.516666666666666,98.98399999999992,10.483333333333405
2023-08-22 18:48:30,car12,Model N,154,45,79.49797122111936,0.11,451.9666666666666,Node 4,moving,28.966666666666665,98.98299999999992,8.033333333333417
2023-08-22 18:49:30,car12,Model N,162,45,78.41079517991771,0.11,454.53333333333325,Node 4,moving,31.53333333333333,98.98199999999991,5.466666666666754
2023-08-22 18:50:30,car12,Model N,154,45,77.20709939591771,0.11,457.23333333333323,Node 4,moving,34.233333333333334,98.98099999999991,2.766666666666765
2023-08-22 18:51:30,car12,Model N,150,45,76.11991253795887,0.11,459.7999999999999,Node 4,moving,36.8,98.9799999999999,0.20000000000010232
2023-08-22 18:52:30,car12,Model N,146,45,75.08875438981072,0.11,462.2999999999999,Node 4,moving,39.3,98.9789999999999,inf
